"MOD_NAME","ITM_NAME","PAG_NAME","DSCR","ITM_TYPE","FLD_LEN","DECML","ITM_REQUIRED","ITM_UNIQUE"
"GDSSHORT","GDSEMPTY","GDSSHORT","Feel that your life is empty?","NUMBER","1","","False","False"
"GDSSHORT","GDSENRGY","GDSSHORT","Feel full of energy?","NUMBER","1","","False","False"
"GDSSHORT","GDSGSPIR","GDSSHORT","In good spirits most of the time?","NUMBER","1","","False","False"
"GDSSHORT","GDSHAPPY","GDSSHORT","Feel happy most of the time","NUMBER","1","","False","False"
"GDSSHORT","GDSHLPLS","GDSSHORT","Often feel helpless?","NUMBER","1","","False","False"
"GDSSHORT","GDSHOME","GDSSHORT","Prefer to stay at home?","NUMBER","1","","False","False"
"GDSSHORT","GDSHOPLS","GDSSHORT","Feel that your situation is hopeless?","NUMBER","1","","False","False"
"GDSSHORT","GDSMEMRY","GDSSHORT","More problems with memory than most?","NUMBER","1","","False","False"
"GDSSHORT","GDSSATIS","GDSSHORT","Basically satisfied with your life?","NUMBER","1","","False","False"
"GDSSHORT","GDSWRTLS","GDSSHORT","Feel pretty worthless the way you are?","NUMBER","1","","False","False"
"GDSSHORT","INFODT","GDSSHORT","Assessment Date","DATE","","","True","False"
"GDSSHORT","LAST_UPDATE","GDSSHORT","Date of most recent update to record","DATE","","","True","False"
"GDSSHORT","ORIG_ENTRY","GDSSHORT","Date of original data entry","DATE","","","True","False"
"GDSSHORT","PAG_NAME","GDSSHORT","Page Name","CHAR","12","","True","False"
"GDSSHORT","PATNO","GDSSHORT","Participant ID","NUMBER","18","0","True","False"
"GDSSHORT","QUERY","GDSSHORT","Any open/pending queries on this record","NUMBER","1","","False","False"
"GDSSHORT","REC_ID","GDSSHORT","Record ID","CHAR","36","","True","True"
"GENPHYEX","","GENPHYEX","General Physical Exam","","","","",""
"GENPHYEX","ABNORM","GENPHYEX","Response","NUMBER","12","0","False","False"
"GENPHYEX","ABNORMCM","GENPHYEX","Comment","CHAR","","","False","False"
"GENPHYEX","CNO","GENPHYEX","Site Number","NUMBER","12","0","True","False"
"GENPHYEX","EVENT_ID","GENPHYEX","Visit ID","CHAR","3","","True","False"
"GENPHYEX","INFODT","GENPHYEX","Assessment Date","DATE","","","True","False"
"GENPHYEX","LAST_UPDATE","GENPHYEX","Date of most recent update to record","DATE","","","True","False"
"GENPHYEX","ORIG_ENTRY","GENPHYEX","Date of original data entry","DATE","","","True","False"
"GENPHYEX","PAG_NAME","GENPHYEX","Page Name","CHAR","12","","True","False"
"GENPHYEX","PATNO","GENPHYEX","Participant ID","NUMBER","18","0","True","False"
"GENPHYEX","PECAT","GENPHYEX","Category","CHAR","","","False","False"
"GENPHYEX","PESEQ","GENPHYEX","Number","NUMBER","12","0","False","False"
"GENPHYEX","QUERY","GENPHYEX","Any open/pending queries on this record","NUMBER","1","","False","False"
"GENPHYEX","REC_ID","GENPHYEX","Record ID","CHAR","36","","True","True"
"GMVOLUME","","","Grey Matter volume extraction from MRI T1","CHAR","8","","",""
"GMVOLUME","EVENT_ID","","Event Name","CHAR","8","","",""
"GMVOLUME","GM_VOLUME","","Extracted grey matter volume in mm cubed","NUMBER","","0","",""
"GMVOLUME","IMAGEID","","Image ID","NUMBER","8","0","",""
"GMVOLUME","MRIDATE","","Date of MRI scan","DATE","","","",""
"GMVOLUME","PATNO","","Patient Number","CHAR","8","","",""
"HVLT","","HVLT","Hopkins Verbal Learning Test - Revised","","","","",""
"HVLT","AGE_ASSESS_HVLT","","Age at Assessment - HVLT","NUMBER","8","0","",""
"HVLT","CNO","HVLT","Site Number","NUMBER","12","0","True","False"
"HVLT","DVT_DELAYED_RECALL","","Derived-Delayed Recall T-Score","NUMBER","8","0","",""
"HVLT","DVT_RECOG_DISC_INDEX","","Derived-Recog. Discrim. Index T-Score","NUMBER","8","0","",""
"HVLT","DVT_RETENTION","","Derived-Retention T-Score","NUMBER","8","0","",""
"HVLT","DVT_TOTAL_RECALL","","Derived-Total Recall T-Score","NUMBER","8","0","",""
"HVLT","EVENT_ID","HVLT","Visit ID","CHAR","3","","True","False"
"HVLT","HVLTFPRL","HVLT","Delayed Recognition - Total # false positives, related","NUMBER","12","0","False","False"
"HVLT","HVLTFPUN","HVLT","Delayed Recognition - Total # false positives, unrelated","NUMBER","12","0","False","False"
"HVLT","HVLTRDLY","HVLT","Delayed Recall Trial 4","NUMBER","12","0","False","False"
"HVLT","HVLTREC","HVLT","Delayed Recognition - Total # true positives","NUMBER","12","0","False","False"
"HVLT","HVLTRT1","HVLT","Immediate Recall Trial 1","NUMBER","12","0","False","False"
"HVLT","HVLTRT2","HVLT","Immediate Recall Trial 2","NUMBER","12","0","False","False"
"HVLT","HVLTRT3","HVLT","Immediate Recall Trial 3","NUMBER","12","0","False","False"
"HVLT","HVLTVRSN","HVLT","HVLT-R Test Booklet Version used","NUMBER","12","0","False","False"
"HVLT","HVLTVRSNCM","HVLT","Used different form than indicated in the protocol comment","CHAR","","","False","False"
"HVLT","INFODT","HVLT","Assessment Date","DATE","","","True","False"
"HVLT","LAST_UPDATE","HVLT","Date of most recent update to record","DATE","","","True","False"
"HVLT","ORIG_ENTRY","HVLT","Date of original data entry","DATE","","","True","False"
"HVLT","PAG_NAME","HVLT","Page Name","CHAR","12","","True","False"
"HVLT","PATNO","HVLT","Participant ID","NUMBER","18","0","True","False"
"HVLT","QUERY","HVLT","Any open/pending queries on this record","NUMBER","1","","False","False"
"HVLT","REC_ID","HVLT","Record ID","CHAR","36","","True","True"
"ICFLOG","","ICFLOG","Informed Consent Tracking Log","","","","",""
"ICFLOG","CNO","ICFLOG","Site Number","NUMBER","12","0","True","False"
"ICFLOG","CNTBRTS","ICFLOG","Consent to share contact info with Pathology Core","NUMBER","12","0","False","False"
"ICFLOG","CNTVER","","Consent to contact by Verily Study team","CHAR","1","","",""
"ICFLOG","EVENT_ID","ICFLOG","Visit ID","CHAR","3","","True","False"
"ICFLOG","FNDSHR","ICFLOG","Consent to share contact info with FOUND","NUMBER","12","0","False","False"
"ICFLOG","ICFAPPDT","ICFLOG","Date ICF signed","DATE","","","False","False"
"ICFLOG","ICFPRTCL","ICFLOG","Select Protocol for Consent","NUMBER","12","0","False","False"
"ICFLOG","ICFRSN","ICFLOG","Reason for Consent","NUMBER","12","0","False","False"
"ICFLOG","ICFRSNCM","ICFLOG","Reason for reconsent comment","CHAR","","","False","False"
"ICFLOG","INFODT","ICFLOG","Assessment Date","DATE","","","True","False"
"ICFLOG","IRBAPPDT","ICFLOG","Site IRB approval date","DATE","","","False","False"
"ICFLOG","LAST_UPDATE","ICFLOG","Date of most recent update to record","DATE","","","True","False"
"ICFLOG","ORIG_ENTRY","ICFLOG","Date of original data entry","DATE","","","True","False"
"ICFLOG","PAG_NAME","ICFLOG","Page Name","CHAR","12","","True","False"
"ICFLOG","PATNO","ICFLOG","Participant ID","NUMBER","18","0","True","False"
"ICFLOG","QUERY","ICFLOG","Any open/pending queries on this record","NUMBER","1","","False","False"
"ICFLOG","RECNTDATA","ICFLOG","Consent to re-contact for use of data or samples","NUMBER","1","","False","False"
"ICFLOG","RECNTRSCH","ICFLOG","Consent to re-contact for other research","NUMBER","1","","False","False"
"ICFLOG","REC_ID","ICFLOG","Record ID","CHAR","36","","True","True"
"ICFLOG","SEQNO","ICFLOG","Sequence Number","NUMBER","12","0","True","False"
"ICFLOG","SITEVDT","ICFLOG","Site version date","DATE","","","False","False"
"ICFLOG","STUDYVDT","ICFLOG","Study template version date","DATE","","","False","False"
"INBEDTIMES","age_seconds","","Participant's pseudo-age in seconds","DATE","0","0","",""
"INBEDTIMES","end_time_local","","Timestamp of the offset of inbed time. Represented in participant's local time","TIME","8","0","",""
"INBEDTIMES","end_time_ms","","Timestamp of the offset of inbed time. Represented in epoch time","CHAR","25","0","",""
"INBEDTIMES","start_time_local","","Timestamp of the onset of inbed time. Represented in participant's local time","TIME","8","0","",""
"INBEDTIMES","start_time_ms","","Timestamp of the onset of inbed time. Represented in epoch time","CHAR","25","0","",""
"INBEDTIMES","subject","","Participant ID","CHAR","16","0","",""
"INBEDTIMES","time_day","","Day of week","CHAR","3","0","",""
"INBEDTIMES","time_local","","Time in participant's local time zone","TIME","8","0","",""
"INBEDTIMES","time_ms","","Epoch time (Convert all millisecond timestamps in the PST (-7:00) timezone to get the day of week and local time)","CHAR","25","0","",""
"INEX","","INEX","Inclusion Exclusion","","","","",""
"INEX","CNO","INEX","Site Number","NUMBER","12","0","True","False"
"INEX","EVENT_ID","INEX","Visit ID","CHAR","3","","True","False"
"INEX","EX60DYPDRX","INEX","Has taken levodopa, dopamine agonists, MAO-B inhibitors or amantadine within 60 days of Baseline visit.","NUMBER","1","","False","False"
"INEX","EX90DYPDRX","INEX","Has taken levodopa or dopamine agonists prior to Baseline visit for more than a total of 90 days.","NUMBER","1","","False","False"
"INEX","EXABCOND","INEX","Any other medical or psychiatric condition or lab abnormality, which in the opinion of the investigator might preclude participation.","NUMBER","1","","False","False"
"INEX","EXANTCOAG","INEX","Current treatment with anticoagulants (e.g., coumadin, heparin, oral thrombin inhibitors) that might preclude safe completion of the lumbar puncture.","NUMBER","1","","False","False"
"INEX","EXATYPPD","INEX","Atypical PD syndromes due to either drugs (e.g., metoclopramide, flunarizine, neuroleptics) or metabolic disorders (e.g. Wilson's disease), encephalitis, or degenerative diseases (e.g., progressive supranuclear palsy).","NUMBER","1","","False","False"
"INEX","EXCURPDRX","INEX","Currently taking levodopa, dopamine agonists, MAO-B inhibitors (e.g., selegiline, rasagiline), amantadine or another PD medication.","NUMBER","1","","False","False"
"INEX","EXDARX6MO","INEX","Received any of the following drugs: dopamine receptor blockers (neuroleptics), metoclopramide and reserpine within 6 months of Screening visit.","NUMBER","1","","False","False"
"INEX","EXDEMNTDX","INEX","A clinical diagnosis of dementia as determined by the investigator.","NUMBER","1","","False","False"
"INEX","EXFAMPD","INEX","First degree relative with PD (i.e. biologic parent, sibling, child)","NUMBER","1","","False","False"
"INEX","EXNEURCURR","INEX","Current or active clinically significant neurological disorder (in the opinion of the Investigator).","NUMBER","1","","False","False"
"INEX","EXNEURMRI","INEX","Previously obtained MRI scan with evidence of clinically significant neurological disorder (in the opinion of the Investigator).","NUMBER","1","","False","False"
"INEX","EXPDDEMDX","INEX","Clinical diagnosis of PD, other parkinsonism, or dementia.","NUMBER","1","","False","False"
"INEX","EXUNSAFLP","INEX","Condition that precludes the safe performance of routine lumbar puncture, such as prohibitive lumbar spinal disease, bleeding diathesis, or clinically significant coagulopathy or thrombocytopenia.","NUMBER","1","","False","False"
"INEX","IN2CARDPD","INEX","Patients must have at least two of the following: resting tremor, bradykinesia, rigidity (must have either resting tremor or bradykinesia); OR either asymmetric resting tremor or asymmetric bradykinesia.","NUMBER","1","","False","False"
"INEX","IN2YRPD","INEX","A diagnosis of Parkinson disease for 2 years or less at Screening Visit.","NUMBER","1","","False","False"
"INEX","INAGE30","INEX","Male or female age 30 years or older at Screening visit.","NUMBER","1","","False","False"
"INEX","INAGE6030","INEX","Male or female age 60 years or older (except age 30 years or older for SNCA, or rare genetic mutations (such as Parkin or Pink1) participants).","NUMBER","1","","False","False"
"INEX","INCNST","INEX","Able to provide informed consent.","NUMBER","1","","False","False"
"INEX","INDATSCN","INEX","Confirmation that participant is eligible based on Screening DaTscan imaging.","NUMBER","1","","False","False"
"INEX","INFODT","INEX","Assessment Date","DATE","","","True","False"
"INEX","INHOLDRX","INEX","Individuals taking any of the following drugs: alpha methyldopa, methylphenidate, amphetamine derivatives or modafinil, must be willing and medically able to hold the medication for at least 5 half-lives before DaTscan imaging.","NUMBER","1","","False","False"
"INEX","INHY1OR2","INEX","Hoehn and Yahr stage I or II at Baseline.","NUMBER","1","","False","False"
"INEX","INHY1TO3","INEX","Hoehn and Yahr stage I or II or III at Baseline.","NUMBER","1","","False","False"
"INEX","INLRRK2GBA","INEX","Confirmation of causative LRRK2 or GBA (willingness to undergo genetic testing as part of genetic screening and be informed of genetic testing results, or documentation of prior genetic testing results).","NUMBER","1","","False","False"
"INEX","INNOMED6MO","INEX","Not expected to require PD medication within at least 6 months from Baseline.","NUMBER","1","","False","False"
"INEX","INPDDX30","INEX","Male or female age 30 years or older at Screening Visit.","NUMBER","1","","False","False"
"INEX","INPDSC","INEX","Parkinson's disease diagnosis at Screening Visit.","NUMBER","1","","False","False"
"INEX","INPREGNT","INEX","Male or a female of childbearing potential who is not pregnant, lactating, or planning pregnancy during the study must have a negative pregnancy test on day of Screening DaTscan imaging test prior to injection of DaTscan","NUMBER","1","","False","False"
"INEX","INPRESCRN","INEX","Confirmation that participant is eligible based on centrally determined predictive criteria including the University of Pennsylvania Smell Identification Test (UPSIT), prior to completion of Screening DaTscan imaging.","NUMBER","1","","False","False"
"INEX","INSNCAPARK","INEX","Confirmation of causative SNCA or rare genetic variant (such as Parkin or Pink1) (willingness to undergo genetic testing as part of genetic screening and be informed of genetic testing results, or approved documentation of prior genetic testing results).","NUMBER","1","","False","False"
"INEX","LAST_UPDATE","INEX","Date of most recent update to record","DATE","","","True","False"
"INEX","ORIG_ENTRY","INEX","Date of original data entry","DATE","","","True","False"
"INEX","PAG_NAME","INEX","Page Name","CHAR","12","","True","False"
"INEX","PATNO","INEX","Participant ID","NUMBER","18","0","True","False"
"INEX","QUERY","INEX","Any open/pending queries on this record","NUMBER","1","","False","False"
"INEX","REC_ID","INEX","Record ID","CHAR","36","","True","True"
"IUSM_CATALOG","ALIAS_ID","","Patient Number","CHAR","100","","",""
"IUSM_CATALOG","CLINICAL_EVENT","","Event Name","CHAR","100","","",""
"IUSM_CATALOG","CONCENTRATION","","Concentration","NUMBER","12","4","",""
"IUSM_CATALOG","CUSTODIAL_DOMAIN","","Custodial Domain","CHAR","10","","",""
"IUSM_CATALOG","MASS_UG","","Mass ug","NUMBER","12","4","",""
"IUSM_CATALOG","NUM_AVAILABLE","","Num Aliquots Available","CHAR","100","","",""
"IUSM_CATALOG","QC","","QC Status","CHAR","100","","",""
"IUSM_CATALOG","QUANTITY","","Quantity","NUMBER","12","4","",""
"IUSM_CATALOG","QUANTITY_UNITS","","Quantity Units","CHAR","100","","",""
"IUSM_CATALOG","RATIO_260_280","","Ratio 260 280","NUMBER","12","4","",""
"IUSM_CATALOG","RIN","","RIN","NUMBER","12","4","",""
"IUSM_CATALOG","SMS_SUBJECT_ID","","Internal ST Identifier","CHAR","100","","",""
"IUSM_CATALOG","SPECIMEN_NO","","Specimen Number","CHAR","10","","",""
"IUSM_CATALOG","TYPE","","Type","CHAR","100","","",""
"IUSM_CATALOG","VOLUME_RECEIVED","","Volume Received","NUMBER","12","4","",""
"IUSM_CATALOG","VOLUME_RECEIVED_UNITS","","Volume Received Units","CHAR","100","","",""
"iu_genetic_consensus","","","Genetic Data - Consensus Coding Variants for GBA and LRRK2","","","","",""
"iu_genetic_consensus","CLIA","","Gene Screening Data","CHAR","1","","",""
"iu_genetic_consensus","DESCRP_CAT","","Additional description of categories (includes genetic categories)","CHAR","6","","",""
"iu_genetic_consensus","ENROLL_CAT","","Enrollment category","CHAR","8","","",""
"iu_genetic_consensus","ENROLL_STATUS","","enrollment status","CHAR","8","","",""
"iu_genetic_consensus","GBA_PATHVAR","","Indicates presence (1) or absence (0) or one or more pathogenic or likely pathogenic GBA variants with a moderate to high risk of Parkinson’s disease","NUMBER","2","0","",""
"iu_genetic_consensus","GBA_POS","","Analyzed data indicates variant in GBA is present (1), no variants were identified (0), or there was no data for gene (-9)","NUMBER","2","0","",""
"iu_genetic_consensus","GBA_VAR_CONF","","Variant(s) with more than one genetic platform supporting variant call (high confidence variants)","CHAR","","","",""
"iu_genetic_consensus","GBA_VAR_ID","","Variant ID (protein position)","CHAR","","","",""
"iu_genetic_consensus","GWAS","","GWAS data","CHAR","1","","",""
"iu_genetic_consensus","IMAGING_CAT","","Imaging category","CHAR","8","","",""
"iu_genetic_consensus","LRRK2_PATHVAR","","Indicates presence (1) or absence (0) or one or more pathogenic or likely pathogenic LRRK2 variants with a moderate to high risk of Parkinson’s disease","NUMBER","2","0","",""
"iu_genetic_consensus","LRRK2_POS","","Analyzed data indicates variant in LRRK2 is present (1), no variants were identified (0), or there was no data for gene (-9)","NUMBER","2","0","",""
"iu_genetic_consensus","LRRK2_VAR_CONF","","Variant(s) with more than one genetic platform supporting variant call (high confidence variants)","CHAR","","","",""
"iu_genetic_consensus","LRRK2_VAR_ID","","Variant ID (protein position)","CHAR","","","",""
"iu_genetic_consensus","NOTES","","Recommendations for exclusion from analyses based on current data and notes on missing data, and other notes about consensus curation","CHAR","","","",""
"iu_genetic_consensus","PATNO","","Patient ID","NUMBER","5","0","",""
"iu_genetic_consensus","RECRUITMENT_CAT","","Recruitment category","CHAR","8","","",""
"iu_genetic_consensus","RNASEQ","","RNA-sequencing data","CHAR","1","","",""
"iu_genetic_consensus","RNASEQ_VIS","","Count of RNA-sequencing visits with data","NUMBER","1","0","",""
"iu_genetic_consensus","SANGER","","Sanger sequencing data","CHAR","1","","",""
"iu_genetic_consensus","WES","","Whole exome sequencing data","CHAR","1","","",""
"iu_genetic_consensus","WGS","","Whole genome sequencing data","CHAR","1","","",""
"LAB","","LAB","Research Biospecimens","","","","",""
"LAB","BLDDRDT","LAB","Date of blood draw","DATE","","","False","False"
"LAB","BLDPLAS","LAB","Blood for plasma level","NUMBER","12","0","False","False"
"LAB","BLDRNA","LAB","Blood for PAXgene","NUMBER","12","0","False","False"
"LAB","BLDRNATM","LAB","Time of PAXgene collection","TIME","","","False","False"
"LAB","BLDSER","LAB","Blood for serum","NUMBER","12","0","False","False"
"LAB","BLDSERTM","LAB","Time of serum collection","TIME","","","False","False"
"LAB","BLDWHL","LAB","Whole blood","NUMBER","12","0","False","False"
"LAB","BLDWHLTM","LAB","Time of whole blood collection","TIME","","","False","False"
"LAB","BLDWHLTMP","LAB","Whole blood Storage Temperature (Celsius)","NUMBER","12","0","False","False"
"LAB","BLDWHLVL","LAB","Whole blood volume (milliliters)","NUMBER","18","8","False","False"
"LAB","BSALQN","LAB","Number of aliquot tubes for serum","NUMBER","12","0","False","False"
"LAB","BSCFRG","LAB","Temperature of serum centrifugation (Celsius)","NUMBER","12","0","False","False"
"LAB","BSFTM","LAB","Time serum samples placed in freezer","TIME","","","False","False"
"LAB","BSSPNDR","LAB","Duration of serum centrifugation (minutes)","NUMBER","12","0","False","False"
"LAB","BSSPNRT","LAB","Rate of serum centrifugation (xg)","NUMBER","12","0","False","False"
"LAB","BSSPNTM","LAB","Time of serum centrifugation","TIME","","","False","False"
"LAB","BSSTTMP","LAB","Serum storage temperature (Celsius)","NUMBER","12","0","False","False"
"LAB","BSVAFT","LAB","Serum volume aliquotted after spinning (milliliters)","NUMBER","18","8","False","False"
"LAB","CNO","LAB","Site Number","NUMBER","12","0","True","False"
"LAB","DurBLDSERTM","","Duration from time of last intake of food to serum sampling","NUMBER","13","4","",""
"LAB","DurPLASFFTM","","Duration from plasma collection to freezing","NUMBER","13","4","",""
"LAB","DurPLASSPNTM","","Duration from plasma collection to start of centrifugation","NUMBER","13","4","",""
"LAB","DurPLASTM","","Duration from time of last intake of food to time of plasma sampling","NUMBER","13","4","",""
"LAB","DurSERFFTM","","Duration from time of serum collection to freezing","NUMBER","13","4","",""
"LAB","DurSERSPNTM","","Duration from time of serum collection to start of centrifugation","NUMBER","13","4","",""
"LAB","DurUT1FFTM","","Duration from time of urine collection to freezing","NUMBER","13","4","",""
"LAB","DurUT1SPNTM","","Duration from time of urine collection to start of centrifugation","NUMBER","13","4","",""
"LAB","DurUT1TM","","Duration from time of last intake of food to urine sampling","NUMBER","13","4","",""
"LAB","EVENT_ID","LAB","Visit ID","CHAR","3","","True","False"
"LAB","FASTSTAT","LAB","Fasting Status","NUMBER","12","0","False","False"
"LAB","INFODT","LAB","Assessment Date","DATE","","","True","False"
"LAB","LAST_UPDATE","LAB","Date of most recent update to record","DATE","","","True","False"
"LAB","LMDT","LAB","Date of last meal","DATE","","","False","False"
"LAB","LMTM","LAB","Time of last meal","TIME","","","False","False"
"LAB","ORIG_ENTRY","LAB","Date of original data entry","DATE","","","True","False"
"LAB","PAG_NAME","LAB","Page Name","CHAR","12","","True","False"
"LAB","PATNO","LAB","Participant ID","NUMBER","18","0","True","False"
"LAB","PDMEDDT","LAB","Date of most recent PD med dose","DATE","","","False","False"
"LAB","PDMEDTM","LAB","Time of most recent PD med dose","TIME","","","False","False"
"LAB","PDMEDYN","LAB","Is subject on medication for PD","NUMBER","1","","False","False"
"LAB","PLAALQN","LAB","Number of aliquot tubes for plasma","NUMBER","12","0","False","False"
"LAB","PLASBFCT","LAB","Plasma - Buffy Coat","NUMBER","12","0","False","False"
"LAB","PLASCFRG","LAB","Temperature of plasma centrifugation (Celsius)","NUMBER","12","0","False","False"
"LAB","PLASFTM","LAB","Time plasma samples placed in freezer","TIME","","","False","False"
"LAB","PLASPNDR","LAB","Duration of plasma centrifugation (minutes)","NUMBER","12","0","False","False"
"LAB","PLASPNRT","LAB","Rate of plasma centrifugation (xg)","NUMBER","12","0","False","False"
"LAB","PLASPNTM","LAB","Time of plasma centrifugation","TIME","","","False","False"
"LAB","PLASTM","LAB","Time of plasma collection","TIME","","","False","False"
"LAB","PLASTTMP","LAB","Plasma storage temperature (Celsius)","NUMBER","12","0","False","False"
"LAB","PLASVAFT","LAB","Plasma volume aliquotted after spinning (milliliters)","NUMBER","18","8","False","False"
"LAB","QUERY","LAB","Any open/pending queries on this record","NUMBER","1","","False","False"
"LAB","REC_ID","LAB","Record ID","CHAR","36","","True","True"
"LAB","RNAFDT","LAB","Date PAXgene sample placed in freezer","DATE","","","False","False"
"LAB","RNAFTM","LAB","Time PAXgene sample placed in freezer","TIME","","","False","False"
"LAB","RNASTTMP","LAB","RNA Storage Temperature (Celsius)","NUMBER","12","0","False","False"
"LAB","UASPEC","LAB","Urine Specimen","NUMBER","12","0","False","False"
"LAB","UASPECDT","LAB","Urine Specimen Collection Date","DATE","","","False","False"
"LAB","UT1CFRG","LAB","Temperature of urine centrifugation (Celsius)","NUMBER","12","0","False","False"
"LAB","UT1FTM","LAB","Time urine tube 1 placed in freezer","TIME","","","False","False"
"LAB","UT1SPNDR","LAB","Duration of urine centrifugation (minutes)","NUMBER","12","0","False","False"
"LAB","UT1SPNRT","LAB","Rate of urine centrifugation (xg)","NUMBER","12","0","False","False"
"LAB","UT1SPNTM","LAB","Time of urine centrifugation","TIME","","","False","False"
"LAB","UT1TM","LAB","Time of urine tube 1 collection","TIME","","","False","False"
"LEDDLOG","","LEDDLOG","LEDD Concomitant Medication Log","","","","",""
"LEDDLOG","CNO","LEDDLOG","Site Number","NUMBER","12","0","True","False"
"LEDDLOG","EVENT_ID","LEDDLOG","Visit ID","CHAR","3","","True","False"
"LEDDLOG","INFODT","LEDDLOG","Assessment Date","DATE","","","True","False"
"LEDDLOG","LAST_UPDATE","LEDDLOG","Date of most recent update to record","DATE","","","True","False"
"LEDDLOG","LEDD","LEDDLOG","Levodopa Equivalent Daily Dose","CHAR","","","False","False"
"LEDDLOG","LEDDOSE","LEDDLOG","Dose Taken","NUMBER","18","8","False","False"
"LEDDLOG","LEDDOSFRQ","LEDDLOG","Frequency","NUMBER","12","0","False","False"
"LEDDLOG","LEDDOSSTR","LEDDLOG","Dose Strength","CHAR","","","False","False"
"LEDDLOG","LEDDSTRMG","LEDDLOG","Dose in mg of the Levodopa equivalent drug only","NUMBER","18","8","False","False"
"LEDDLOG","LEDTRT","LEDDLOG","Medication","CHAR","","","False","False"
"LEDDLOG","ORIG_ENTRY","LEDDLOG","Date of original data entry","DATE","","","True","False"
"LEDDLOG","PAG_NAME","LEDDLOG","Page Name","CHAR","12","","True","False"
"LEDDLOG","PATNO","LEDDLOG","Participant ID","NUMBER","18","0","True","False"
"LEDDLOG","QUERY","LEDDLOG","Any open/pending queries on this record","NUMBER","1","","False","False"
"LEDDLOG","REC_ID","LEDDLOG","Record ID","CHAR","36","","True","True"
"LEDDLOG","SEQNO","LEDDLOG","Sequence Number","NUMBER","12","0","True","False"
"LEDDLOG","STARTDT","LEDDLOG","Start Date","DATE","","","False","False"
"LEDDLOG","STOPDT","LEDDLOG","Stop Date","DATE","","","False","False"
"LEXICAL","","LEXICAL","Lexical Fluency","","","","",""
"LEXICAL","CNO","LEXICAL","Site Number","NUMBER","12","0","True","False"
"LEXICAL","EVENT_ID","LEXICAL","Visit ID","CHAR","3","","True","False"
"LEXICAL","INFODT","LEXICAL","Assessment Date","DATE","","","True","False"
"LEXICAL","LAST_UPDATE","LEXICAL","Date of most recent update to record","DATE","","","True","False"
"LEXICAL","LXFLUEA","LEXICAL","Lexical Fluency - letter A","NUMBER","12","0","False","False"
"LEXICAL","LXFLUEF","LEXICAL","Lexical Fluency - letter F","NUMBER","12","0","False","False"
"LEXICAL","LXFLUES","LEXICAL","Lexical Fluency - letter S","NUMBER","12","0","False","False"
"LEXICAL","ORIG_ENTRY","LEXICAL","Date of original data entry","DATE","","","True","False"
"LEXICAL","PAG_NAME","LEXICAL","Page Name","CHAR","12","","True","False"
"LEXICAL","PATNO","LEXICAL","Participant ID","NUMBER","18","0","True","False"
"LEXICAL","QUERY","LEXICAL","Any open/pending queries on this record","NUMBER","1","","False","False"
"LEXICAL","REC_ID","LEXICAL","Record ID","CHAR","36","","True","True"
"LINEORNT","","LINEORNT","Benton Judgement of Line Orientation","","","","",""
"LINEORNT","AGE_ASSESS_JLO","","Age at Assessment - Line Orientation","NUMBER","8","0","",""
"LINEORNT","BJLOT1","BENTONOD","Benton Test Item 1","NUMBER","12","0","False","False"
"LINEORNT","BJLOT10","BENTONEV","Benton Test Item 10","NUMBER","12","0","False","False"
"LINEORNT","BJLOT11","BENTONOD","Benton Test Item 11","NUMBER","12","0","False","False"
"LINEORNT","BJLOT12","BENTONEV","Benton Test Item 12","NUMBER","12","0","False","False"
"LINEORNT","BJLOT13","BENTONOD","Benton Test Item 13","NUMBER","12","0","False","False"
"LINEORNT","BJLOT14","BENTONEV","Benton Test Item 14","NUMBER","12","0","False","False"
"LINEORNT","BJLOT15","BENTONOD","Benton Test Item 15","NUMBER","12","0","False","False"
"LINEORNT","BJLOT16","BENTONEV","Benton Test Item 16","NUMBER","12","0","False","False"
"LINEORNT","BJLOT17","BENTONOD","Benton Test Item 17","NUMBER","12","0","False","False"
"LINEORNT","BJLOT18","BENTONEV","Benton Test Item 18","NUMBER","12","0","False","False"
"LINEORNT","BJLOT19","BENTONOD","Benton Test Item 19","NUMBER","12","0","False","False"
"LINEORNT","BJLOT2","BENTONEV","Benton Test Item 2","NUMBER","12","0","False","False"
"LINEORNT","BJLOT20","BENTONEV","Benton Test Item 20","NUMBER","12","0","False","False"
"LINEORNT","BJLOT21","BENTONOD","Benton Test Item 21","NUMBER","12","0","False","False"
"LINEORNT","BJLOT22","BENTONEV","Benton Test Item 22","NUMBER","12","0","False","False"
"LINEORNT","BJLOT23","BENTONOD","Benton Test Item 23","NUMBER","12","0","False","False"
"LINEORNT","BJLOT24","BENTONEV","Benton Test Item 24","NUMBER","12","0","False","False"
"LINEORNT","BJLOT25","BENTONOD","Benton Test Item 25","NUMBER","12","0","False","False"
"LINEORNT","BJLOT26","BENTONEV","Benton Test Item 26","NUMBER","12","0","False","False"
"LINEORNT","BJLOT27","BENTONOD","Benton Test Item 27","NUMBER","12","0","False","False"
"LINEORNT","BJLOT28","BENTONEV","Benton Test Item 28","NUMBER","12","0","False","False"
"LINEORNT","BJLOT29","BENTONOD","Benton Test Item 29","NUMBER","12","0","False","False"
"LINEORNT","BJLOT3","BENTONOD","Benton Test Item 3","NUMBER","12","0","False","False"
"LINEORNT","BJLOT30","BENTONEV","Benton Test Item 30","NUMBER","12","0","False","False"
